ACCOUNT NAME : ,MLCSCZ- National Certification Fram

ACCOUNT NUMBER : ,USD 00000260277286

Transaction Date, Value Date, Narration, Ref. No., Debit Amount, Credit Amount, Running Balance
14-01-2026,14-01-2026,SBICP26014A00224 LAB PARTNERS CLINICAL LABORATORY ,1260,0,214,6 600.13,
19-01-2026,19-01-2026,SBICP26019A01988 LAB PARTNERS CLINICAL LABORATORY ,2057,0,165,6 765.13,
27-01-2026,27-01-2026,SBICP26027A08300 LAB PARTNERS CLINICAL LABORATORY ,3263,0,1 035,7 800.13,
31-01-2026,31-01-2026,Account Maintenance Charges  ,1532,30,0,7 770.13,
06-02-2026,06-02-2026,SBICP26037A00173 LAB PARTNERS CLINICAL LABORATORY ,1850,0,891,8 661.13,
28-02-2026,28-02-2026,Account Maintenance Charges  ,1551,30,0,8 631.13,
31-03-2026,31-03-2026,Account Maintenance Charges  ,1708,30,0,8 601.13,
30-04-2026,30-04-2026,Account Maintenance Charges  ,2380,30,0,8 571.13,
31-05-2026,31-05-2026,Account Maintenance Charges  ,1161,30,0,8 541.13,
30-06-2026,30-06-2026,Account Maintenance Charges  ,1986,30,0,8 511.13,
31-07-2026,31-07-2026,Account Maintenance Charges  ,2319,30,0,8 481.13,
